Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,SquareAbsent,frameRate,session,participant,fill
562,2091.057192,1.164958897,70,1.698772224,102,1.732136428,104,2.032317837,122,2.065727137,124,0,2.699708601,right,0,1,0.080205098,1,1,left,59.93921547,2,912,2
563,2093.775775,1.015025661,61,1.715530952,103,1.748902855,105,2.649601435,159,2.683028699,161,36,3.116953629,right,0,1,0.080205098,1,1,left,59.93921547,2,912,2
564,2096.911625,1.06510533,64,1.86566107,112,1.899030406,114,2.44947524,147,2.482888939,149,15,2.866719902,left,0,1,0.080205098,1,-1,left,59.93921547,2,912,2
565,2099.797373,1.115001316,67,1.531931041,92,1.565305144,94,2.165715624,130,2.199119791,132,18,2.63305242,right,0,1,0.080205098,-1,1,left,59.93921547,2,912,2
566,2102.449358,1.065036769,64,1.865700299,112,1.898973945,114,2.449485873,147,2.48277565,149,15,2.916779406,left,0,1,0.080205098,-1,-1,right,59.93921547,2,912,2
567,2105.385111,1.064861153,64,1.748803865,105,1.782147904,107,2.532688135,152,2.566049039,154,27,2.716182456,right,0,1,0.080205098,1,1,left,59.93921547,2,912,2
568,2108.120625,1.215036733,73,1.832103284,110,1.865458322,112,2.265860297,136,2.299194804,138,6,3.299931367,nope,0,0,0.080205098,-1,-1,right,59.93921547,2,912,2
569,2111.439822,1.048169152,63,1.715432695,103,1.74874887,105,2.249245289,135,2.282500603,137,12,3.283285561,nope,0,0,0.080205098,-1,1,right,59.93921547,2,912,2
570,2114.742405,1.048232579,63,1.765418873,106,1.79891983,108,2.599491335,156,2.632748116,158,30,3.033247615,right,0,1,0.080205098,1,1,left,59.93921547,2,912,2
571,2117.794721,1.165072919,70,1.76555086,106,1.798984357,108,2.49947425,150,2.532855319,152,24,2.966688225,left,0,1,0.082605098,-1,-1,right,59.93921547,2,912,2
572,2120.780806,1.081335008,65,1.831873773,110,1.865253009,112,2.415755771,145,2.449011451,147,15,2.949624459,left,0,1,0.082605098,-1,-1,right,59.93921547,2,912,2
573,2123.74957,1.03138366,62,1.798614426,108,1.831927668,110,2.582624818,155,2.615925228,157,27,2.999798719,left,0,1,0.082605098,1,-1,left,59.93921547,2,912,2
574,2126.768513,1.031653501,62,1.715443327,103,1.748793232,105,2.599452106,156,2.632891469,158,33,3.633696592,nope,0,0,0.082605098,-1,-1,right,59.93921547,2,912,2
575,2130.421209,1.015107419,61,1.582229956,95,1.61555603,97,2.26607441,136,2.299445213,138,21,3.300150979,nope,0,0,0.082605098,1,1,left,59.93921547,2,912,2
576,2133.740691,0.998149611,60,1.598702344,96,1.631977823,98,2.08232638,125,2.11565722,127,9,2.566343444,right,0,1,0.082605098,1,1,left,59.93921547,2,912,2
577,2136.325953,1.14842968,69,1.765525563,106,1.798891233,108,2.499456652,150,2.532899682,152,24,2.933290291,right,0,1,0.082605098,-1,1,right,59.93921547,2,912,2
578,2139.278368,0.998228436,60,1.515165714,91,1.548561081,93,2.249148865,135,2.282579429,137,24,3.283280428,nope,0,0,0.082605098,1,-1,left,59.93921547,2,912,2
579,2142.580923,1.181733757,71,1.682010563,101,1.715490256,103,2.516138387,151,2.549433298,153,30,3.550164361,nope,0,0,0.082605098,-1,-1,right,59.93921547,2,912,2
580,2146.150366,1.081649578,65,1.732163559,104,1.765574691,106,2.165800683,130,2.199199717,132,6,2.933342353,left,0,1,0.082605098,-1,-1,right,59.93921547,2,912,2
581,2149.102564,1.148448379,69,1.865741362,112,1.899131963,114,2.399463398,144,2.432807437,146,12,2.900272187,right,0,1,0.082605098,1,1,left,59.93921547,2,912,2
582,2152.021741,1.098153864,66,1.648698055,99,1.681998831,101,2.58274544,155,2.616088012,157,36,3.016579445,left,0,1,0.082605098,1,-1,left,59.93921547,2,912,2
583,2155.057413,1.198283871,72,1.798845404,108,1.832182477,110,2.833014364,170,2.866305975,172,42,3.333576777,left,0,1,0.082605098,1,-1,left,59.93921547,2,912,2
584,2158.409967,1.031673666,62,1.832194942,110,1.865623307,112,2.315995328,139,2.349332767,141,9,3.35013899,nope,0,0,0.082605098,-1,-1,right,59.93921547,2,912,2
585,2161.779272,1.181715425,71,1.682129352,101,1.715521786,103,2.082421337,125,2.115790674,127,4,3.116518071,nope,0,1,0,1,1,left,59.93921547,2,912,2
586,2164.915202,1.164960363,70,1.848760455,111,1.882122826,113,2.582833798,155,2.616033751,157,24,3.616877736,nope,0,0,0.082605098,-1,-1,right,59.93921547,2,912,2
587,2168.551781,1.114466767,67,1.664911968,100,1.698358297,102,2.398808594,144,2.432179397,146,24,3.366451894,right,0,1,0.082605098,1,1,left,59.93921547,2,912,2
588,2171.937335,1.014877175,61,1.465201167,88,1.498537873,90,1.84888181,111,1.882245648,113,3,2.332740124,right,0,1,0.085005098,1,1,left,59.93921547,2,912,2
589,2174.289143,1.014934736,61,1.548726432,93,1.582075237,95,2.332664231,140,2.365943376,142,27,3.21680463,right,0,0,0.085005098,-1,-1,right,59.93921547,2,912,2
590,2177.524931,1.081725471,65,1.682138884,101,1.715589247,103,2.416121302,145,2.449519969,147,24,2.933322921,right,0,1,0.085005098,1,1,left,59.93921547,2,912,2
591,2180.477317,1.081615848,65,1.715435628,103,1.748797265,105,2.099157701,126,2.132449678,128,3,2.549621013,right,0,1,0.085005098,-1,1,left,59.93921547,2,912,2
592,2183.046056,1.08162868,65,1.632086346,98,1.665355959,100,2.666116719,160,2.699502921,162,42,3.150020861,left,0,1,0.085005098,1,-1,left,59.93921547,2,912,2
593,2186.215113,1.065063167,64,1.632087079,98,1.665461915,100,2.316006693,139,2.349313336,141,21,2.749841065,left,0,1,0.085005098,-1,-1,right,59.93921547,2,912,2
594,2188.984268,1.148126843,69,1.648446545,99,1.681909006,101,2.482522308,149,2.515812818,151,30,2.91632295,left,0,1,0.085005098,-1,-1,right,59.93921547,2,912,2
595,2191.919601,1.015017961,61,1.798882067,108,1.832240405,110,2.132586798,128,2.165890141,130,0,2.649705192,right,0,1,0.085005098,1,1,left,59.93921547,2,912,2
596,2194.588364,1.064935946,64,1.548740731,93,1.582134265,95,2.032377965,122,2.065808896,124,9,2.449576797,right,0,1,0.085005098,1,1,left,59.93921547,2,912,2
597,2197.057138,1.098093003,66,1.78200785,107,1.815273797,109,2.866153089,172,2.899532325,174,45,3.249965353,left,0,1,0.085005098,-1,-1,right,59.93921547,2,912,2
598,2200.326223,1.06474823,64,1.481908566,89,1.515233541,91,2.065645744,124,2.099002982,126,15,2.883217221,left,0,1,0.085005098,-1,-1,right,59.93921547,2,912,2
599,2203.228343,1.098511696,66,1.682256207,101,1.715575315,103,2.316111183,139,2.349425892,141,18,3.016792825,left,0,1,0.085005098,-1,-1,right,59.93921547,2,912,2
600,2206.264323,1.181635499,71,1.782120773,107,1.815413483,109,2.616046583,157,2.649397954,159,30,3.650180713,nope,0,1,0,1,1,right,59.93921547,2,912,2
