Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,frameRate,participant
260,1323.937823,1.133406391,68,1.733839822,104,1.767197011,106,2.317646904,139,2.35089117,141,3,2.73484769,l,0,1,0.155710015,1,1,59.94404568,322
261,1326.673323,1.200041209,72,1.833896356,110,1.867255745,112,2.667745051,160,2.701281155,162,18,3.25184727,a,0,1,0.155710015,1,-1,59.94404568,322
262,1329.925829,1.183363532,71,1.683817421,101,1.717247202,103,2.667948531,160,2.701353382,162,27,3.085187447,l,0,1,0.155710015,-1,1,59.94404568,322
263,1333.01167,1.033167641,62,1.76710462,106,1.800416713,108,2.617765545,157,2.651082771,159,19,3.068400514,l,0,1,0.155710015,1,1,59.94404568,322
264,1336.08073,1.199957984,72,1.617003319,97,1.650307347,99,2.551013771,153,2.584446853,155,24,2.984955297,l,0,1,0.155710015,-1,1,59.94404568,322
265,1339.066343,1.183356566,71,1.700426172,102,1.733718467,104,2.701189498,162,2.734529821,164,28,3.101699041,l,0,1,0.155710015,1,1,59.94404568,322
266,1342.168803,1.049850818,63,1.767084822,106,1.800531468,108,3.034899605,182,3.068182002,184,44,3.418555122,l,0,1,0.155710015,1,1,59.94404568,322
267,1345.588023,1.016674378,61,1.783954614,107,1.817220145,109,2.667928,160,2.701264657,162,21,3.5188474,l,0,1,0.155710015,1,1,59.94404568,322
268,1349.107559,1.216728053,73,1.883890527,113,1.91716559,115,2.417706738,145,2.450983634,147,0,2.935004755,a,0,1,0.155710015,-1,-1,59.94404568,322
269,1352.043229,0.999851514,60,1.533543437,92,1.566912725,94,2.250780374,135,2.284148562,137,11,2.668013425,a,0,1,0.155710015,-1,-1,59.94404568,322
270,1354.711908,1.183352166,71,1.617117342,97,1.65051706,99,2.667917001,160,2.701291788,162,31,3.302050787,l,0,1,0.155710015,1,1,59.94404568,322
271,1383.467485,1.167007756,70,1.717441517,103,1.750867632,105,2.284449566,137,2.317916011,139,2,3.318692169,nope,0,0,0.155710015,-1,1,59.94404568,322
