Trial,ButtonPressTimeinOverallExp,squareStartTime,squareStartFrame,flash_circleStartTime,flash_circleStartFrame,flash_circleEndTime,flash_circleEndFrame,lilsquareStartTime,lilsquareStartFrame,lilsquareEndTime,lilsquareEndFrame,lilafterflash,ButtonPressTime,Key,false_presses,Acc,Opacity,FlashSide,CorrSide,date,frameRate,participant
233,1390.204694,1.149425178,69,1.749938314,105,1.783178902,107,2.433808646,146,2.467143458,148,9,3.467943813,nope,0,1,0,-1,-1,NA,59.96027619,223
234,1393.67393,1.099582077,66,1.549974537,93,1.583186162,95,2.333861404,140,2.367184117,142,15,2.717548677,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
235,1396.409477,1.149489338,69,1.933451364,116,1.966772611,118,2.734133957,164,2.767493334,166,16,3.251273401,l,0,1,0.137687274,1,1,NA,59.96027619,223
236,1399.678827,1.199440228,72,1.79989397,108,1.833169022,110,3.534563942,212,3.567921485,214,72,4.568764003,nope,0,0,0.125170249,1,-1,NA,59.96027619,223
237,1404.248873,1.132925689,68,1.766710577,106,1.799985628,108,2.850948786,171,2.884301929,173,33,3.234527536,l,0,1,0.125170249,-1,1,NA,59.96027619,223
238,1407.50154,1.199575515,72,1.649892449,99,1.683162734,101,2.617327562,157,2.650672273,159,26,3.651432665,nope,0,1,0,-1,-1,NA,59.96027619,223
239,1411.154263,1.1830027,71,1.599938259,96,1.633211844,98,3.051134008,183,3.084471386,185,55,4.085256343,nope,0,0,0.118911736,-1,-1,NA,59.96027619,223
240,1415.240811,1.116252417,67,1.766764472,106,1.799983795,108,2.317173833,139,2.350539076,141,1,2.81761434,l,0,1,0.125170249,1,1,NA,59.96027619,223
241,1418.07648,1.182792253,71,1.749903851,105,1.783192834,107,2.734082996,164,2.767448971,166,27,3.134361049,a,0,1,0.131428761,1,-1,NA,59.96027619,223
242,1421.228827,1.082895973,65,1.599955858,96,1.633200845,98,2.717443087,163,2.750752968,165,35,3.067726254,l,0,1,0.125170249,-1,1,NA,59.96027619,223
243,1424.314696,1.099421127,66,1.5664062,94,1.599717181,96,3.334539304,200,3.367848819,202,74,4.368615811,nope,0,1,0,1,1,NA,59.96027619,223
244,1428.684617,1.199674872,72,1.866809237,112,1.900142216,114,2.884341525,173,2.917770562,175,29,3.301381942,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
245,1432.004024,1.132821932,68,1.850002511,111,1.883294428,113,3.384535657,203,3.417907865,205,60,3.718189547,l,0,1,0.131428761,1,1,NA,59.96027619,223
246,1435.740315,1.182857147,71,1.950148467,117,1.983344326,119,3.551370301,213,3.584734444,215,64,4.585510235,nope,0,0,0.131428761,1,-1,NA,59.96027619,223
247,1440.327107,1.199594213,72,1.916828687,115,1.950070008,117,3.284512155,197,3.317846601,199,50,3.71823611,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
248,1444.063491,1.149480906,69,1.849948983,111,1.883325958,113,2.950877329,177,2.984225707,179,34,3.985032661,nope,0,1,0,-1,-1,NA,59.96027619,223
249,1448.049805,1.132931921,68,1.750035105,105,1.783316022,107,2.517408184,151,2.550719531,153,14,3.551502288,nope,0,1,0,-1,-1,NA,59.96027619,223
250,1451.6026,1.03284316,62,1.850124966,111,1.883444746,113,3.317935692,199,3.351306434,201,56,3.935090571,a,0,1,0.131428761,1,-1,NA,59.96027619,223
251,1455.555877,1.099360266,66,1.649817289,99,1.683052011,101,2.38367884,143,2.417039316,145,12,2.76735658,a,0,1,0.131428761,1,-1,NA,59.96027619,223
252,1458.341298,1.149489338,69,1.733281541,104,1.766520662,106,2.984203709,179,3.017641544,181,43,4.018360874,nope,0,0,0.125170249,1,1,NA,59.96027619,223
253,1462.360989,1.099539915,66,1.666716406,100,1.699951128,102,2.41724243,145,2.450649835,147,13,2.850949152,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
254,1465.230012,1.116188989,67,1.850075838,111,1.883321925,113,2.750804296,165,2.784158907,167,22,3.167779819,l,0,1,0.125170249,1,1,NA,59.96027619,223
255,1468.415903,1.166122648,70,1.800023391,108,1.833198719,110,2.467062799,148,2.500486336,150,8,2.834076066,l,0,1,0.125170249,-1,1,NA,59.96027619,223
256,1471.268039,1.082853077,65,1.516525703,91,1.549769224,93,3.317859066,199,3.351263538,201,76,3.768243827,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
257,1475.054496,1.182898943,71,1.633065192,98,1.666346109,100,2.55043136,153,2.583783403,155,23,3.584721612,nope,0,0,0.137687274,-1,-1,NA,59.96027619,223
258,1478.640502,1.116142061,67,1.666597985,100,1.699829407,102,2.61731253,157,2.650741566,159,25,2.950823068,l,0,1,0.125170249,-1,1,NA,59.96027619,223
259,1481.609576,1.049352915,63,1.499670216,90,1.533027025,92,2.150180804,129,2.183596642,131,7,2.717367561,l,0,1,0.118911736,1,1,NA,59.96027619,223
260,1484.344973,1.16620294,70,1.716461983,103,1.749859489,105,3.251106217,195,3.284458627,197,60,3.651372171,a,0,1,0.118911736,-1,-1,NA,59.96027619,223
261,1488.014593,1.199356636,72,1.799898003,108,1.833128692,110,2.483714073,149,2.517117079,151,9,2.850714142,a,0,1,0.118911736,1,-1,NA,59.96027619,223
262,1490.883399,1.19958908,72,1.649918113,99,1.683180699,101,2.550649505,153,2.583979917,155,22,2.900876944,a,0,1,0.125170249,-1,-1,NA,59.96027619,223
263,1493.802466,1.132773904,68,1.549749426,93,1.582995147,95,3.134389279,188,3.167618502,190,63,4.168406758,nope,0,0,0.125170249,-1,-1,NA,59.96027619,223
264,1497.972164,1.0662337,64,1.850133032,111,1.88351294,113,2.634147853,158,2.667567357,160,15,3.017776464,l,0,1,0.131428761,-1,1,NA,59.96027619,223
265,1539.721196,1.182969336,71,1.80017261,108,1.83345756,110,3.217949588,193,3.251273034,195,53,3.551548484,a,0,1,0.131428761,1,-1,NA,59.96027619,223
266,1543.291134,0.999290569,60,1.733316737,104,1.766563558,106,3.167718592,190,3.201103632,192,54,4.201922319,nope,0,1,0,1,1,NA,59.96027619,223
